title,type,genre_ids,overview,release_date,popularity,vote_average,poster_path
Spider-Man: Brand New Day,movie,"[878, 28, 12]",Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,2026-07-29,952.532,7.873,/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg
The Odyssey,movie,"[12, 28, 14]","Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",2026-07-15,544.3226,7.99,/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg
Mutiny,movie,"[28, 53]","After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy.",2026-08-19,412.2288,6.36,/pu2VxGlpGwffOx292w18b1tv96j.jpg
The Last Sunrise,movie,"[10749, 18]","Ry, a college student with a chronic illness, escapes to Mallorca for the summer with her mother, where she unexpectedly falls for a local and begins to embrace living in the moment. But as her condition worsens and long-hidden family secrets come to light, everything she has found before summer's end is threatened.",2026-08-26,318.6222,6.6,/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg
Facing El Chapo,movie,"[80, 28, 53]",Two Mexican officers must survive the final hours of their shift after crossing a ruthless cartel boss.,2026-08-21,275.713,8.867,/z8eF0ACFFKtIZ4pUeo02PCzxRVO.jpg
Toxic: A Fairy Tale for Grown-ups,movie,"[28, 80, 18]","A powerful drug cartel pulls the strings behind a facade of sun-soaked beaches as a gritty, violent underworld power struggle emerges during the crumbling of Portuguese colonial rule.",2026-08-26,260.8412,7.3,/oiIPU4lvnI0Ag2K9cyAi44eCaoE.jpg
Coyote vs. Acme,movie,"[35, 12, 10751]","After Acme products fail him one too many times in his dogged pursuit of the Roadrunner, Wile E. Coyote decides to hire a billboard lawyer to sue the Acme Corporation.",2026-08-20,246.8996,7.829,/vhv7lBWYM0DUuNU2a0V7Rhq21dD.jpg
Obsession,movie,"[27, 53]","After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",2026-05-13,218.7101,8.205,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg
Pinocchio: Unstrung,movie,"[27, 14, 9648]","Influenced by a sinister Cricket and created by Geppetto, Pinocchio launches a violent crusade to carve himself into a real boy like his brother James, one piece at a time.",2026-07-22,230.3675,6.688,/eUJXk3bTvLBi5Zcb0BCedZU7lVL.jpg
Shape of My Heart,movie,[10749],"A romance about a man and a woman who, due to an unexpected event, end up switching bodies. Despite coming from completely different backgrounds and environments, the two try to overcome the various difficulties that arise from their body swap.",2024-07-06,270.7527,5.2,/3r0O6BW9USoZ9mteCVyNKMQriRL.jpg
The Whisper Man,movie,"[80, 18, 53]","When his young son vanishes, a widower enlists help from his estranged father, a retired detective who put away the serial killer now linked to the case.",2026-08-27,233.5012,6.377,/6UqflU8Qqkz7Dq4swJPqs0ZJjY4.jpg
