title,type,genre_ids,overview,release_date,popularity,vote_average,poster_path
Reacher,series,"[10759, 80]","Jack Reacher, a veteran military police investigator, has just recently entered civilian life. Reacher is a drifter, carrying no phone and the barest of essentials as he travels the country and explores the nation he once served.",2022-02-03,519.9028,8.104,/f1VCQIG2iCyOookdgOzwtUpwWC0.jpg
The Mentalist,series,"[80, 18, 9648]","Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.",2008-09-23,392.9681,8.397,/acYXu4KaDj1NIkMgObnhe4C4a0T.jpg
Lioness,series,"[18, 10768]","Cruz Manuelos, a rough-around-the-edges but passionate young Marine, is recruited to join the CIA's Lioness Engagement Team to help bring down a terrorist organization from within. Joe, the station chief of the Lioness program, is tasked with training, managing and leading her female undercover operatives.",2023-07-23,370.756,8.114,/rzpHPSEgPTpRs8EHbygwsOw7jC0.jpg
Lanterns,series,"[18, 9648, 10765]","Two intergalactic cops, new recruit John Stewart and Lantern legend Hal Jordan, are drawn into a dark, Earth-based mystery as they investigate a murder in the American heartland.",2026-08-16,277.3194,8.286,/gpC7h43xPMEV3goYMQShfJbTtLq.jpg
Silo,series,"[10765, 18]","In a ruined and toxic future, thousands live in a giant silo deep underground. After its sheriff breaks a cardinal rule and residents die mysteriously, engineer Juliette starts to uncover shocking secrets and the truth about the silo.",2023-05-04,300.5164,8.2,/gMYZZvnkVNTqSVnVCphWbPXwWwb.jpg
Law & Order: Special Victims Unit,series,"[80, 18, 9648]","In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",1999-09-20,294.0541,7.96,/iofokHZoUB4Qhik4PflvJl8TT6a.jpg
El conquistador,series,[10764],,2005-01-03,277.027,5.7,/AaOxyfJdXcb1FnKeoj87FiHUs0w.jpg
Tagesschau,series,[10763],"German daily news program, the oldest still existing program on German television.",1952-12-26,263.9928,6.768,/7dFZJ2ZJJdcmkp05B9NWlqTJ5tq.jpg
The Simpsons,series,"[16, 35]","Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",1989-12-17,266.6011,8.021,/uWpG7GqfKGQqX4YMAo3nv5OrglV.jpg
Gran hermano,series,[10764],Argentina's version of the Big Brother franchise.,2001-03-10,268.3604,4.5,/snIRCY6Qhei08YUNQjjZI2gc4CK.jpg
Family Guy,series,"[16, 35]","Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",1999-01-31,234.755,7.4,/3PFsEuAiyLkWsP4GG6dIV37Q6gu.jpg
Watch What Happens Live with Andy Cohen,series,"[10767, 35]",Bravo network executive Andy Cohen discusses pop culture topics with celebrities and reality show personalities.,2009-07-16,225.468,4.921,/onSD9UXfJwrMXWhq7UY7hGF2S1h.jpg
The Rookie,series,"[80, 18, 35]","Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he's met with skepticism from some higher-ups who see him as just a walking midlife crisis.",2018-10-16,230.529,8.544,/70kTz0OmjjZe7zHvIDrq2iKW7PJ.jpg
NCIS,series,"[80, 18, 10759]","From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has any connection to Navy and Marine Corps personnel, regardless of rank or position.",2003-09-23,215.0119,7.61,/mBcu8d6x6zB1el3MPNl7cZQEQ31.jpg
Ted Lasso,series,"[18, 35]","Ted Lasso, an American football coach, moves to England when he's hired to manage a soccer team—despite having no experience. With cynical players and a doubtful town, will he get them to see the Ted Lasso Way?",2020-08-14,219.0891,8.367,/uRHsiw1wLxPHFXkkv4Ix1s0O6f4.jpg
